REG,AIRCRAFT TYPE,CONFIG,DELIVERED,REMARK,AIRCRAFT NAME,AGE
F-HOZA,Airbus A220-300 (BD-500-1A11),CY148,29 Dec 2025,lsd,Calais W,0.2 Years
F-HOZB,Airbus A220-300 (BD-500-1A11),CY148,23 Dec 2025,lsd,La Ciotat W,0.2 Years
F-HOZC,Airbus A220-300 (BD-500-1A11),CY148,15 Jan 2026,lsd,Enghien-les-Bains W,0.2 Years
F-HOZD,Airbus A220-300 (BD-500-1A11),CY148,16 Feb 2026,,Carnac W,Brand new
F-HPNA,Airbus A220-300 (BD-500-1A11),CY148,25 Jul 2023,lsd,Saumur W,2.7 Years
F-HPNB,Airbus A220-300 (BD-500-1A11),CY148,18 Jul 2023,lsd,Sauternes W,2.7 Years
F-HPNC,Airbus A220-300 (BD-500-1A11),CY148,10 Jul 2023,"Parked / Maintenance, lsd",Gaillac W,2.7 Years
F-HPND,Airbus A220-300 (BD-500-1A11),CY148,5 Sep 2023,lsd,Porto-Vecchio W,2.7 Years
F-HPNE,Airbus A220-300 (BD-500-1A11),CY148,8 Sep 2023,,Agen W,2.6 Years
F-HPNF,Airbus A220-300 (BD-500-1A11),CY148,18 Oct 2023,"Parked at LFBF, lsd",Gevrey-Chambertin W,2.5 Years
F-HPNG,Airbus A220-300 (BD-500-1A11),CY148,3 Nov 2023,,Arles W,2.5 Years
F-HPNH,Airbus A220-300 (BD-500-1A11),CY148,5 Jun 2024,Parked at LFBF,Saint-Paul de Vence W,1.9 Years
F-HPNI,Airbus A220-300 (BD-500-1A11),CY148,30 May 2024,"Parked / Maintenance, lsd",Sancerre W,1.8 Years
F-HPNJ,Airbus A220-300 (BD-500-1A11),CY148,13 Jun 2024,Parked / Maintenance,Le Touquet Paris-Plage W,1.8 Years
F-HPNK,Airbus A220-300 (BD-500-1A11),CY148,18 Jun 2024,"Parked at LFBF, lsd",L'Isle-sur-la-Sorgue W,1.8 Years
F-HPNL,Airbus A220-300 (BD-500-1A11),CY148,2 Sep 2024,lsd,Vannes W,1.5 Years
F-HPNM,Airbus A220-300 (BD-500-1A11),CY148,18 Oct 2024,"Parked / Maintenance, lsd",Pommard W,1.5 Years
F-HPNN,Airbus A220-300 (BD-500-1A11),CY148,24 Oct 2024,"Parked at LFBF, lsd",Chardonnay W,1.4 Years
F-HPNO,Airbus A220-300 (BD-500-1A11),CY148,8 Nov 2024,lsd,Bastia W,1.3 Years
F-HPNP,Airbus A220-300 (BD-500-1A11),CY148,24 Dec 2024,lsd,Bergerac W,1.2 Years
F-HPNQ,Airbus A220-300 (BD-500-1A11),CY148,25 Mar 2025,lsd,Mâcon W,1 Years
F-HPNR,Airbus A220-300 (BD-500-1A11),CY148,9 Apr 2025,lsd,Rivesaltes W,0.9 Years
F-HPNS,Airbus A220-300 (BD-500-1A11),CY148,3 Jun 2025,"Parked / Maintenance, lsd",Le Puy-en-Velay W,0.8 Years
F-HPNT,Airbus A220-300 (BD-500-1A11),CY148,16 Jul 2025,lsd,Monbazillac W,0.7 Years
F-HPNU,Airbus A220-300 (BD-500-1A11),CY148,19 Aug 2025,,Vaison-la-Romaine W,0.6 Years
F-HPNV,Airbus A220-300 (BD-500-1A11),CY148,23 Sep 2025,,Vallauris W,0.5 Years
F-HPNX,Airbus A220-300 (BD-500-1A11),CY148,22 Oct 2025,lsd,Thonon-les-Bains W,0.4 Years
F-HPNY,Airbus A220-300 (BD-500-1A11),CY148,5 Nov 2025,lsd,Cagnes-sur-Mer W,0.4 Years
F-HPNZ,Airbus A220-300 (BD-500-1A11),CY148,12 Nov 2025,,Valbonne W,0.4 Years
