REG,AIRCRAFT TYPE,CONFIG,DELIVERED,REMARK,AGE
VT-BKK,Airbus A320-214,Y180,1 Oct 2024,lsd,15.8 Years
VT-BOM,Airbus A320-214,Y180,1 Oct 2024,lsd,14.1 Years
VT-EXA,Airbus A320-214(WL),Y180,14 Feb 2025,lsd,11.1 Years
VT-EXB,Airbus A320-214(WL),Y180,14 Feb 2025,lsd,10.7 Years
VT-EXC,Airbus A320-214(WL),Y180,14 Feb 2025,lsd,10.6 Years
VT-EXD,Airbus A320-214(WL),Y180,9 Oct 2024,lsd,10.5 Years
VT-EXE,Airbus A320-214(WL),Y180,9 Oct 2024,lsd,10.4 Years
VT-IXR,Airbus A320-214,Y180,1 Oct 2024,lsd,17.1 Years
VT-JPR,Airbus A320-216,Y180,1 Oct 2024,lsd,17.7 Years
VT-JRT,Airbus A320-216,Y180,1 Oct 2024,"Parked / Maintenance, lsd",18 Years
VT-VNS,Airbus A320-216(WL),Y180,1 Oct 2024,lsd,11.7 Years
VT-VTZ,Airbus A320-214,Y180,1 Oct 2024,"Parked / Maintenance, lsd",15.6 Years
VT-ATD,Airbus A320-251N,Y186,8 Nov 2023,"lsd, ""Ajrakh"" W tail",5.7 Years
VT-ATE,Airbus A320-251N,Y186,8 Dec 2023,lsd,5.6 Years
VT-ATG,Airbus A320-251N,Y186,18 Dec 2023,lsd,5.4 Years
VT-ATH,Airbus A320-251N,Y186,1 Oct 2024,lsd,4.9 Years
VT-ATJ,Airbus A320-251N,Y186,5 Sep 2023,"lsd, ""Paithani"" W tail",4.7 Years
VT-RTF,Airbus A320-251N,Y186,11 Jan 2025,lsd,2.4 Years
VT-RTG,Airbus A320-251N,Y186,13 Jan 2025,lsd,2.3 Years
VT-RTH,Airbus A320-251N,Y186,14 Feb 2025,lsd,2.3 Years
VT-RTI,Airbus A320-251N,Y186,11 Jan 2025,lsd,2.2 Years
VT-RTO,Airbus A320-251N,Y186,12 Dec 2024,lsd,2.4 Years
VT-RTP,Airbus A320-251N,Y186,12 Dec 2024,lsd,2.3 Years
VT-RTQ,Airbus A320-251N,Y186,14 Dec 2024,lsd,2.4 Years
VT-RTB,Airbus A321-251NX,Y232,19 Apr 2025,lsd,2.9 Years
VT-RTC,Airbus A321-251NX,Y232,23 Apr 2025,lsd,3 Years
VT-RTD,Airbus A321-251NX,Y232,9 Aug 2025,"lsd, ""Gota Patti"" tail",3 Years
VT-RTE,Airbus A321-251NX,Y232,19 Apr 2025,lsd,2.9 Years
VT-AXI,Boeing 737-8HG(WL),Y186,18 Dec 2006,"""Ragini Todi / Solah Shringar"" tail",19.2 Years
VT-AXJ,Boeing 737-8HG(WL),Y186,9 Jan 2007,"""Red Fort / Gwalior Fort"" tail",19.2 Years
VT-AXM,Boeing 737-8HG(WL),Y186,16 Jan 2007,"""Mehrangarh Fort Palace / Mysore Palace"" tail",19.2 Years
VT-AXN,Boeing 737-8HG(WL),Y186,22 Jan 2007,"""Kochi-Muziris Biennale"" W tail",19.2 Years
VT-AXP,Boeing 737-8HG(WL),Y186,14 Feb 2007,"""Hans Damayanti / Music"" tail",19.1 Years
VT-AXQ,Boeing 737-8HG(WL),Y186,14 May 2007,"""Qutb Minar / Jantar Mantar"" tail",18.8 Years
VT-AXR,Boeing 737-8HG(WL),Y186,13 Jul 2007,"""Chundan Vallam / Kalaripayattu"" tail",18.7 Years
VT-AXT,Boeing 737-8HG(WL),Y186,26 Jul 2007,"""Peacock / Stork"" tail",18.7 Years
VT-AXU,Boeing 737-8HG(WL),Y186,9 Oct 2007,"Parked / Maintenance, ""Garba Dance / Bihu Dance"" tail",18.5 Years
VT-AXW,Boeing 737-8HG(WL),Y186,20 Jun 2008,"""Great Stupa / Charminar"" tail",17.8 Years
VT-AXX,Boeing 737-8HG(WL),Y186,30 Jul 2008,"Parked / Maintenance, ""Beach / Himalayas"" tail",17.6 Years
VT-AXZ,Boeing 737-8HG(WL),Y186,3 Feb 2009,"""Himalayan Peaks / Desert"" tail",17.1 Years
VT-AYA,Boeing 737-8HG(WL),Y186,17 Apr 2009,"""Ellora Caves / Ajanta Caves"" tail",16.9 Years
VT-AYB,Boeing 737-8HG(WL),Y186,28 Jul 2009,"""White Tiger / Spotted Deer"" tail",16.7 Years
VT-AYC,Boeing 737-8HG(WL),Y186,29 Sep 2009,,16.4 Years
VT-AYD,Boeing 737-8HG(WL),Y186,22 Dec 2009,"Parked / Maintenance, ""Nagaland Folk Dance / Manipuri Dance"" tail",16.2 Years
VT-GHA,Boeing 737-86N(WL),Y189,22 Mar 2016,"lsd, ""Elephant / Camel"" tail",10 Years
