REG,AIRCRAFT TYPE,CONFIG,DELIVERED,REMARK,AIRCRAFT NAME,AGE
VT-SCF,Airbus A319-112,C8Y114,24 Aug 2007,,,19.4 Years
VT-SCH,Airbus A319-112,C8Y114,29 Oct 2007,,,18.4 Years
VT-SCM,Airbus A319-112,C8Y114,7 Nov 2008,,,17.5 Years
VT-SCQ,Airbus A319-112,C8Y114,28 May 2009,,,16.8 Years
VT-SCR,Airbus A319-112,C8Y114,30 Jul 2009,,,16.7 Years
VT-SCV,Airbus A319-112,C8Y114,27 Nov 2009,,,16.3 Years
VT-EDC,Airbus A320-214,C12Y138,24 Feb 2010,,,16.1 Years
VT-EDD,Airbus A320-214,C12Y138,23 Feb 2010,Parked / Maintenance,,16.1 Years
VT-EDE,Airbus A320-214,C12Y138,29 Mar 2010,,,16 Years
VT-EDF,Airbus A320-214,C12Y138,30 Mar 2010,,,16 Years
VT-ATV,Airbus A320-251N,C8W24Y132,12 Nov 2024,lsd, TATA SIA Airlines Retro cs,7.5 Years
VT-CID,Airbus A320-251N,C8W24Y132,27 Feb 2017,lsd,,9.1 Years
VT-CIE,Airbus A320-251N,C8W24Y132,3 Apr 2017,lsd,,8.9 Years
VT-CIF,Airbus A320-251N,C8W24Y132,13 Jun 2017,lsd,,8.8 Years
VT-CIG,Airbus A320-251N,C8W24Y132,9 Oct 2017,lsd,,8.4 Years
VT-CIH,Airbus A320-251N,C8W24Y132,31 Jan 2018,lsd,,8.1 Years
VT-CIM,Airbus A320-251N,C8W24Y132,25 Jun 2018,lsd,,7.7 Years
VT-CIN,Airbus A320-251N,C8W24Y132,30 Apr 2018,"lsd, Star Alliance W cs",,7.9 Years
VT-CIO,Airbus A320-251N,C8W24Y132,30 Apr 2018,lsd,,7.9 Years
VT-CIP,Airbus A320-251N,C8W24Y132,23 Jul 2018,lsd,,7.6 Years
VT-CIQ,Airbus A320-251N,C8W24Y132,9 Jul 2018,lsd,,7.7 Years
VT-EXF,Airbus A320-251N,C8W24Y132,14 Feb 2017,lsd,,9.1 Years
VT-EXG,Airbus A320-251N,C8W24Y132,24 Apr 2017,lsd,,8.9 Years
VT-EXH,Airbus A320-251N,C8W24Y132,6 Dec 2017,lsd,,8.3 Years
VT-EXI,Airbus A320-251N,C8W24Y132,26 Sep 2017,lsd,,8.5 Years
VT-EXJ,Airbus A320-251N,C8W24Y132,15 Dec 2017,lsd,,8.2 Years
VT-EXK,Airbus A320-251N,C8W24Y132,21 Dec 2017,lsd,,8.2 Years
VT-EXL,Airbus A320-251N,C8W24Y132,20 Dec 2017,lsd,,8.2 Years
VT-EXM,Airbus A320-251N,C8W24Y132,12 Feb 2018,lsd,,8.1 Years
VT-EXN,Airbus A320-251N,C8W24Y132,1 Jan 2019,lsd,,7.2 Years
VT-EXO,Airbus A320-251N,C8W24Y132,20 Nov 2018,"lsd, Star Alliance W cs",,7.3 Years
VT-EXP,Airbus A320-251N,C8W24Y132,27 Dec 2018,lsd,,7.2 Years
VT-EXQ,Airbus A320-251N,C8W24Y132,26 Feb 2019,lsd,,7.1 Years
VT-EXR,Airbus A320-251N,C8W24Y132,30 Apr 2019,lsd,,6.9 Years
VT-EXS,Airbus A320-251N,C8W24Y132,28 Mar 2019,lsd,,7 Years
VT-EXT,Airbus A320-251N,C8W24Y132,10 Apr 2017,lsd,,8.9 Years
VT-EXU,Airbus A320-251N,C8W24Y132,31 May 2017,lsd,,8.8 Years
VT-EXV,Airbus A320-251N,C8W24Y132,5 Jul 2017,lsd,,8.7 Years
VT-RIO,Airbus A320-251N,C8W24Y132,30 Jul 2024,lsd,,1.7 Years
VT-RTJ,Airbus A320-251N,C8W24Y132,25 Jan 2024,lsd,,2.2 Years
VT-RTK,Airbus A320-251N,C8W24Y132,27 Feb 2024,lsd,,2.1 Years
VT-RTL,Airbus A320-251N,C8W24Y132,26 Mar 2024,lsd,,2 Years
VT-RTM,Airbus A320-251N,C8W24Y132,17 May 2024,lsd,,1.9 Years
VT-RTN,Airbus A320-251N,C8W24Y132,5 Jul 2024,lsd,,1.7 Years
VT-RTS,Airbus A320-251N,C8W24Y132,5 Mar 2024,lsd,,2 Years
VT-RTT,Airbus A320-251N,C8W24Y132,28 Nov 2023,lsd,,2.3 Years
VT-RTU,Airbus A320-251N,C8W24Y132,28 Dec 2023,lsd,,2.2 Years
VT-RTV,Airbus A320-251N,C8W24Y132,2 Feb 2024,lsd,,2.1 Years
VT-RTW,Airbus A320-251N,C8W24Y132,7 Feb 2024,lsd,,2.1 Years
VT-RTX,Airbus A320-251N,C8W24Y132,14 Feb 2024,lsd,,2.1 Years
VT-RTY,Airbus A320-251N,C8W24Y132,28 Mar 2024,lsd,,1.9 Years
VT-RTZ,Airbus A320-251N,C8W24Y132,1 May 2024,lsd,,1.9 Years
VT-TNB,Airbus A320-251N,C8W24Y132,12 Nov 2024,lsd,,8.8 Years
VT-TNC,Airbus A320-251N,C8W24Y132,12 Nov 2024,lsd,,8.7 Years
VT-TNE,Airbus A320-251N,C8W24Y132,12 Nov 2024,lsd,,8.5 Years
VT-TNF,Airbus A320-251N,C8W24Y132,12 Nov 2024,lsd,,8.3 Years
VT-TNH,Airbus A320-251N,C8W24Y132,12 Nov 2024,lsd,,8.1 Years
VT-TNI,Airbus A320-251N,C8W24Y132,12 Nov 2024,lsd,,8 Years
VT-TNJ,Airbus A320-251N,C8W24Y132,12 Nov 2024,lsd,,8 Years
VT-TNK,Airbus A320-251N,C8W24Y132,12 Nov 2024,lsd,,7.7 Years
VT-TNL,Airbus A320-251N,Y180,12 Nov 2024,lsd,,6.3 Years
VT-TNM,Airbus A320-251N,Y180,12 Nov 2024,lsd,,6.3 Years
VT-TNN,Airbus A320-251N,Y180,12 Nov 2024,lsd,,8.9 Years
VT-TNP,Airbus A320-251N,C8W24Y132,12 Nov 2024,lsd,,6.4 Years
VT-TNQ,Airbus A320-251N,C8W24Y132,12 Nov 2024,lsd,,6.4 Years
VT-TNR,Airbus A320-251N,C8W24Y132,12 Nov 2024,lsd,,6.4 Years
VT-TNS,Airbus A320-251N,C8W24Y132,12 Nov 2024,lsd,,6.2 Years
VT-TNU,Airbus A320-251N,C8W24Y132,12 Nov 2024,lsd,,6.3 Years
VT-TNV,Airbus A320-251N,C8W24Y132,12 Nov 2024,lsd,,6.3 Years
VT-TNW,Airbus A320-251N,C8W24Y132,12 Nov 2024,lsd,,6.2 Years
VT-TNX,Airbus A320-251N,C8W24Y132,12 Nov 2024,lsd,,5.8 Years
VT-TNY,Airbus A320-251N,C8W24Y132,12 Nov 2024,lsd,,6 Years
VT-TNZ,Airbus A320-251N,C8W24Y132,12 Nov 2024,lsd,,5.4 Years
VT-TQA,Airbus A320-251N,C8W24Y132,12 Nov 2024,lsd,,5.4 Years
VT-TQB,Airbus A320-251N,C8W24Y132,12 Nov 2024,lsd,,5.3 Years
VT-TQC,Airbus A320-251N,C8W24Y132,12 Nov 2024,lsd,,5.1 Years
VT-TQD,Airbus A320-251N,C8W24Y132,12 Nov 2024,lsd,,5 Years
VT-TQE,Airbus A320-251N,C8W24Y132,12 Nov 2024,,,5 Years
VT-TQF,Airbus A320-251N,C8W24Y132,12 Nov 2024,lsd,,5 Years
VT-TQG,Airbus A320-251N,C8W24Y132,12 Nov 2024,lsd,,4.6 Years
VT-TQH,Airbus A320-251N,C8W24Y132,12 Nov 2024,lsd,,4.6 Years
VT-TQI,Airbus A320-251N,C8W24Y132,12 Nov 2024,lsd,,3.9 Years
VT-TQJ,Airbus A320-251N,C8W24Y132,12 Nov 2024,lsd,,3.8 Years
VT-TQK,Airbus A320-251N,C8W24Y132,12 Nov 2024,lsd,,3.9 Years
VT-TQL,Airbus A320-251N,C8W24Y132,12 Nov 2024,lsd,,4 Years
VT-TQM,Airbus A320-251N,C8W24Y132,12 Nov 2024,lsd,,3.6 Years
VT-TQN,Airbus A320-251N,C8W24Y132,12 Nov 2024,lsd,,3.4 Years
VT-TQO,Airbus A320-251N,C8W24Y132,12 Nov 2024,lsd,,3.2 Years
VT-TQP,Airbus A320-251N,C8W24Y132,12 Nov 2024,lsd,,3 Years
VT-TQQ,Airbus A320-251N,C8W24Y132,12 Nov 2024,lsd,,2.9 Years
VT-TQR,Airbus A320-251N,C8W24Y132,12 Nov 2024,lsd,,2.5 Years
VT-TQS,Airbus A320-251N,C8W24Y132,12 Nov 2024,lsd,,2.5 Years
VT-TQT,Airbus A320-251N,C8W24Y132,12 Nov 2024,lsd,,2.3 Years
VT-TQU,Airbus A320-251N,C8W24Y132,12 Nov 2024,lsd,,2.3 Years
VT-TQV,Airbus A320-251N,C8W24Y132,12 Nov 2024,lsd,,2.2 Years
VT-TQW,Airbus A320-251N,C8W24Y132,12 Nov 2024,,,2 Years
