REG,AIRCRAFT TYPE,CONFIG,DELIVERED,EXIT DATE,STATUS / FATE,REMARK,AIRCRAFT NAME
OO-MKO,Airbus A300B4-103,,Apr 1994,14 May 1994,OO-MKO European Airlines,lsf European Airlines,
V2-LDX,Airbus A300B4-203,,14 May 1994,7 Sep 1994,OO-TJO European Airlines,lsf European Airlines,
VT-EHN,Airbus A300B4-203,C16Y216,28 Jul 1982,May 2002,YA-BAD Ariana Afghan Airlines,,Ganga W
VT-EHO,Airbus A300B4-203,C16Y216,10 Aug 1982,May 2002,YA-BAB Ariana Afghan Airlines,,Godavari W
VT-EHQ,Airbus A300B4-203,C16Y216,5 Nov 1982,May 2002,YA-BAC Ariana Afghan Airlines,,Cauvery W
C-GCIL,Airbus A310-324,,16 Jan 1996,23 Jan 1998,F-WHPU Airbus Financial Services,"lsd, opby Air Club International",
C-GCIO,Airbus A310-324,C24Y180,Feb 1996,Nov 1997,F-WHPV Airbus Financial Services,lsf Air Club International,
OK-YAD,Airbus A310-325,,23 Mar 2007,24 Apr 2009,OK-YAD Czech Airlines (CSA),lsf Czech Airlines (CSA),
V2-LEC,Airbus A310-324,,9 Jan 1995,23 Mar 1997,PK-MAW Merpati,,
V2-LED,Airbus A310-324,,23 Dec 1994,5 Sep 1996,PK-MAX Merpati,,
VT-AIA,Airbus A310-324,C12Y175,8 Dec 2003,7 Mar 2010,Scrapped,,Tapti
VT-AIB,Airbus A310-324,C12Y175,2 Mar 2004,6 Apr 2010,Scrapped,,Pennar
VT-AIG,Airbus A310-324,,13 Jul 2004,31 Jul 2007,N819FD FedEx Express,lsd,Kosi W
VT-AIH,Airbus A310-324,C20Y181,28 Jun 2004,31 Jul 2007,N818FD FedEx Express,lsd,Tungabhadra W
VT-AIN,Airbus A310-324,C12Y175,7 Jun 2005,4 Jun 2008,VT-AIN Deccan 360,,Damodar W
VT-AIO,Airbus A310-324,C12Y175,5 Aug 2005,29 Aug 2008,VT-AIO Deccan 360,,Vaigai
VT-AIP,Airbus A310-324,C12Y175,20 Sep 2005,8 Oct 2008,VT-AIP Deccan 360,,Pamba W
VT-EJG,Airbus A310-304,C20Y181,11 Apr 1986,2010,Scrapped,,Yamuna
VT-EJH,Airbus A310-304(F),Cargo,22 Aug 2008,8 Jun 2012,N430AL Apollo Aviation,,Tista
VT-EJI,Airbus A310-304(F),Cargo,Dec 2008,Mar 2011,5X-HJI Shiv Air,,Saraswati
VT-EJJ,Airbus A310-304,C20Y181,29 Oct 1986,2010,Scrapped,,Beas
VT-EJK,Airbus A310-304,C20Y181,29 Oct 1986,May 2010,Preserved,,Gomati
VT-EJL,Airbus A310-304,C20Y181,30 Mar 1987,Aug 2011,N428AL Apollo Aviation,,Sabarmati
VT-EQS,Airbus A310-304(F),Cargo,26 Apr 2007,20 Mar 2012,N538AL Apollo Aviation,,Krishna
VT-EQT,Airbus A310-304(F),Cargo,16 May 2007,19 Feb 2010,VT-EQT Aryan Cargo Express,,Narmada
VT-EVE,Airbus A310-324,C20Y181,16 Dec 2000,5 Sep 2007,D-AIJW Airbus Industrie,lsd,Periyar
VT-EVF,Airbus A310-324,C20Y181,10 Mar 2001,14 Sep 2007,ST-ATN Sudan Airways,,Mahanadi W
VT-EVG,Airbus A310-304,,19 Jul 2001,6 Oct 2004,N447DN GECAS,lsd,Kosi W
VT-EVH,Airbus A310-304,C20Y181,28 Jun 2001,22 Jul 2004,JY-JAH Jordan Aviation,lsd,Tungabhadra W
VT-EVI,Airbus A310-304,,Feb 2002,Jun 2005,TC-SGC Saga Airlines,lsd,Brahmaputra
VT-EVU,Airbus A310-324,,25 Oct 2002,13 Nov 2005,N266BA Boeing Aircraft Holding Company,lsf Singapore Airlines,Godavari W
VT-EVW,Airbus A310-304,C20Y181,20 Dec 2002,9 Mar 2009,N598HS GA Telesis,lsd,Cauvery
VT-EVX,Airbus A310-304,C20Y181,20 Dec 2002,30 Oct 2008,Scrapped,lsd,Luni
