REG,AIRCRAFT TYPE,CONFIG,DELIVERED,REMARK,AGE
ZK-OAB,Airbus A320-232,Y171,28 Jan 2011,lsd,15.2 Years
ZK-OJQ,Airbus A320-232,Y171,22 Feb 2011,lsd,15.1 Years
ZK-OJR,Airbus A320-232,Y171,10 Nov 2011,lsd,14.4 Years
ZK-OJS,Airbus A320-232,Y171,14 Dec 2011,lsd,14.3 Years
ZK-OXA,Airbus A320-232(WL),Y171,15 Jun 2013,,12.8 Years
ZK-OXB,Airbus A320-232(WL),Y171,19 Jul 2013,,12.7 Years
ZK-OXC,Airbus A320-232(WL),Y171,22 Nov 2013,,12.3 Years
ZK-OXD,Airbus A320-232(WL),Y171,13 Feb 2014,Parked / Maintenance,12.1 Years
ZK-OXE,Airbus A320-232(WL),Y171,7 Mar 2014,,12.1 Years
ZK-OXF,Airbus A320-232(WL),Y171,21 Jul 2014,,11.7 Years
ZK-OXG,Airbus A320-232(WL),Y171,19 Feb 2015,,11.1 Years
ZK-OXH,Airbus A320-232(WL),Y171,26 Feb 2015,,11.1 Years
ZK-OXI,Airbus A320-232(WL),Y171,10 Apr 2015,,11 Years
ZK-OXJ,Airbus A320-232(WL),Y171,30 Jul 2015,,10.6 Years
ZK-OXK,Airbus A320-232(WL),Y171,5 Sep 2015,,10.6 Years
ZK-OXL,Airbus A320-232(WL),Y171,6 May 2016,,9.9 Years
ZK-OXM,Airbus A320-232(WL),Y171,28 Oct 2016,,9.4 Years
ZK-NHA,Airbus A320-271N,Y165,26 Feb 2019,lsd,7 Years
ZK-NHB,Airbus A320-271N,Y165,6 Apr 2019,,6.9 Years
ZK-NHC,Airbus A320-271N,Y165,5 Apr 2019,,7 Years
ZK-NHD,Airbus A320-271N,Y165,22 Nov 2019,lsd,6.3 Years
ZK-NHE,Airbus A320-271N,Y165,6 Nov 2021,,4.4 Years
ZK-NHF,Airbus A320-271N,Y165,29 Oct 2021,,4.4 Years
ZK-NNA,Airbus A321-271NX,Y214,1 Nov 2018,lsd,7.3 Years
ZK-NNB,Airbus A321-271NX,Y214,1 Dec 2018,,7.3 Years
ZK-NNC,Airbus A321-271NX,Y214,7 Dec 2018,lsd,7.3 Years
ZK-NND,Airbus A321-271NX,Y214,12 Feb 2019,,7.1 Years
ZK-NNE,Airbus A321-271NX,Y214,1 May 2019,lsd,6.9 Years
ZK-NNF,Airbus A321-271NX,Y214,13 Jul 2019,,6.7 Years
ZK-NNG,Airbus A321-271NX,Y214,14 Sep 2019,,6.5 Years
ZK-NNH,Airbus A321-271NX,Y214,30 May 2025,lsd,0.8 Years
ZK-NNI,Airbus A321-271NX,Y214,28 Jul 2025,lsd,0.7 Years
ZK-OYA,Airbus A321-271NX,Y217,27 Oct 2022,,3.4 Years
ZK-OYB,Airbus A321-271NX,Y217,18 Nov 2022,Star Alliance (black) W cs,3.3 Years
ZK-OYC,Airbus A321-271NX,Y217,17 Feb 2023,Parked at AKL,3.1 Years
ZK-OYD,Airbus A321-271NX,Y217,31 Oct 2023,Parked at ASP,2.4 Years
ZK-OYE,Airbus A321-271NX,Y217,14 Jun 2024,Parked at ASP,1.8 Years
ZK-MVA,ATR 72-600 (72-212A),Y68,9 Dec 2019,,13.4 Years
ZK-MVB,ATR 72-600 (72-212A),Y68,9 Dec 2019,,13.2 Years
ZK-MVC,ATR 72-600 (72-212A),Y68,9 Dec 2019,,12.8 Years
ZK-MVD,ATR 72-600 (72-212A),Y68,9 Dec 2019,,12.3 Years
ZK-MVE,ATR 72-600 (72-212A),Y68,9 Dec 2019,,11.4 Years
ZK-MVF,ATR 72-600 (72-212A),Y68,9 Dec 2019,,11.1 Years
ZK-MVG,ATR 72-600 (72-212A),Y68,9 Dec 2019,,10.7 Years
ZK-MVH,ATR 72-600 (72-212A),Y68,9 Dec 2019,,10.2 Years
ZK-MVI,ATR 72-600 (72-212A),Y68,9 Dec 2019,,10.2 Years
ZK-MVJ,ATR 72-600 (72-212A),Y68,9 Dec 2019,,10 Years
ZK-MVK,ATR 72-600 (72-212A),Y68,9 Dec 2019,,9.8 Years
ZK-MVL,ATR 72-600 (72-212A),Y68,9 Dec 2019,,9.8 Years
ZK-MVM,ATR 72-600 (72-212A),Y68,9 Dec 2019,,9.6 Years
ZK-MVN,ATR 72-600 (72-212A),Y68,9 Dec 2019,,9.6 Years
ZK-MVO,ATR 72-600 (72-212A),Y68,9 Dec 2019,,10.2 Years
ZK-MVP,ATR 72-600 (72-212A),Y68,9 Dec 2019,,8.7 Years
ZK-MVQ,ATR 72-600 (72-212A),Y68,9 Dec 2019,,8.6 Years
ZK-MVR,ATR 72-600 (72-212A),Y68,9 Dec 2019,,7.9 Years
ZK-MVU,ATR 72-600 (72-212A),Y68,9 Dec 2019,,7.8 Years
ZK-MVV,ATR 72-600 (72-212A),Y68,9 Dec 2019,,7.6 Years
ZK-MVW,ATR 72-600 (72-212A),Y68,9 Dec 2019,,7.5 Years
ZK-MVX,ATR 72-600 (72-212A),Y68,9 Dec 2019,,7 Years
ZK-MVZ,ATR 72-600 (72-212A),Y68,9 Dec 2019,,6.7 Years
ZK-MZA,ATR 72-600 (72-212A),Y68,9 Dec 2019,,6.5 Years
ZK-MZB,ATR 72-600 (72-212A),Y68,9 Dec 2019,,6.4 Years
ZK-MZC,ATR 72-600 (72-212A),Y68,15 Dec 2019,,6.3 Years
ZK-MZD,ATR 72-600 (72-212A),Y68,28 Dec 2019,,6.3 Years
ZK-MZE,ATR 72-600 (72-212A),Y68,22 Oct 2020,,5.5 Years
ZK-MZF,ATR 72-600 (72-212A),Y68,4 Dec 2021,"ATR 1600th" sticker,4.3 Years
ZK-MZG,ATR 72-600 (72-212A),Y68,20 Dec 2024,,1.3 Years
ZK-MZH,ATR 72-600 (72-212A),Y68,30 Aug 2025,,0.6 Years
ZK-OKM,Boeing 777-319ER,C44W54Y244,20 Dec 2010,,15.3 Years
ZK-OKN,Boeing 777-319ER,C44W54Y244,16 Feb 2011,,15.1 Years
ZK-OKO,Boeing 777-319ER,C44W54Y244,22 Mar 2011,lsd,15 Years
ZK-OKP,Boeing 777-319ER,C44W54Y244,7 Nov 2011,,14.3 Years
ZK-OKQ,Boeing 777-319ER,C44W54Y244,10 Jan 2012,,14.2 Years
ZK-OKR,Boeing 777-319ER,C44W54Y244,6 Jun 2014,lsd,11.8 Years
ZK-OKS,Boeing 777-319ER,C44W54Y244,25 Sep 2014,lsd,11.5 Years
ZK-OKU,Boeing 777-367ER,F6C53W34Y201,16 Oct 2023,lsd,17.2 Years
ZK-OKV,Boeing 777-367ER,C40W32Y296,16 May 2024,lsd,13.1 Years
ZK-OKW,Boeing 777-367ER,F6C53W34Y201,27 Sep 2024,"Parked / Maintenance, lsd",12.6 Years
ZK-NZC,Boeing 787-9 Dreamliner,C26W33Y213,25 Aug 2015,,12.6 Years
ZK-NZD,Boeing 787-9 Dreamliner,C18W21Y263,24 Jul 2015,Parked at ASP,12.3 Years
ZK-NZE,Boeing 787-9 Dreamliner,C26W33Y213,1 Jul 2014,,11.8 Years
ZK-NZF,Boeing 787-9 Dreamliner,C18W21Y263,27 Sep 2014,,11.5 Years
ZK-NZG,Boeing 787-9 Dreamliner,C26W33Y213,3 Dec 2014,,11.3 Years
ZK-NZH,Boeing 787-9 Dreamliner,C26W33Y213,30 Oct 2015,,10.4 Years
ZK-NZI,Boeing 787-9 Dreamliner,C26W33Y213,27 Jul 2016,,9.7 Years
ZK-NZJ,Boeing 787-9 Dreamliner,C18W21Y263,9 Sep 2016,Parked at ASP,9.6 Years
ZK-NZK,Boeing 787-9 Dreamliner,C26W33Y213,12 Oct 2016,,9.4 Years
ZK-NZL,Boeing 787-9 Dreamliner,C27W33Y215,6 Oct 2017,,8.4 Years
ZK-NZM,Boeing 787-9 Dreamliner,C27W33Y215,22 Nov 2017,,8.3 Years
ZK-NZN,Boeing 787-9 Dreamliner,C27W33Y215,15 Sep 2018,,7.5 Years
ZK-NZQ,Boeing 787-9 Dreamliner,C27W33Y215,20 Sep 2018,lsd,7.5 Years
ZK-NZR,Boeing 787-9 Dreamliner,C26W33Y213,22 Oct 2019,lsd,6.4 Years
ZK-,Boeing 787-9 Dreamliner,,On Order,,
ZK-,Boeing 787-9 Dreamliner,,On Order,,
ZK-,Boeing 787-9 Dreamliner,,On Order,,
ZK-,Boeing 787-9 Dreamliner,,On Order,,
ZK-NEA,Bombardier DHC-8-311 Dash 8 Q300,Y50,19 Nov 2019,,21.1 Years
ZK-NEB,Bombardier DHC-8-311 Dash 8 Q300,Y50,19 Nov 2019,,20.5 Years
ZK-NEC,Bombardier DHC-8-311 Dash 8 Q300,Y50,19 Nov 2019,,20.4 Years
ZK-NED,Bombardier DHC-8-311 Dash 8 Q300,Y50,19 Nov 2019,,20.3 Years
ZK-NEE,Bombardier DHC-8-311 Dash 8 Q300,Y50,19 Nov 2019,,20.2 Years
ZK-NEF,Bombardier DHC-8-311 Dash 8 Q300,Y50,19 Nov 2019,,20.2 Years
ZK-NEG,Bombardier DHC-8-311 Dash 8 Q300,Y50,19 Nov 2019,,20.1 Years
ZK-NEH,Bombardier DHC-8-311 Dash 8 Q300,Y50,19 Nov 2019,,20 Years
ZK-NEJ,Bombardier DHC-8-311 Dash 8 Q300,Y50,19 Nov 2019,,19.9 Years
ZK-NEK,Bombardier DHC-8-311 Dash 8 Q300,Y50,19 Nov 2019,,19.7 Years
ZK-NEM,Bombardier DHC-8-311 Dash 8 Q300,Y50,19 Nov 2019,,19.6 Years
ZK-NEO,Bombardier DHC-8-311 Dash 8 Q300,Y50,19 Nov 2019,,19.4 Years
ZK-NEP,Bombardier DHC-8-311 Dash 8 Q300,Y50,19 Nov 2019,,19.4 Years
ZK-NEQ,Bombardier DHC-8-311 Dash 8 Q300,Y50,19 Nov 2019,,19.4 Years
ZK-NER,Bombardier DHC-8-311 Dash 8 Q300,Y50,19 Nov 2019,,19.2 Years
ZK-NES,Bombardier DHC-8-311 Dash 8 Q300,Y50,19 Nov 2019,,19.2 Years
ZK-NET,Bombardier DHC-8-311 Dash 8 Q300,Y50,19 Nov 2019,,19.1 Years
ZK-NEU,Bombardier DHC-8-311 Dash 8 Q300,Y50,19 Nov 2019,,18.9 Years
ZK-NEW,Bombardier DHC-8-311 Dash 8 Q300,Y50,19 Nov 2019,,18.8 Years
ZK-NEZ,Bombardier DHC-8-311 Dash 8 Q300,Y50,19 Nov 2019,,18.4 Years
