REG,AIRCRAFT TYPE,CONFIG,DELIVERED,REMARK,AGE
VT-YAA,Boeing 737-8 MAX,Y189,16 Jun 2022,lsd,6.7 Years
VT-YAB,Boeing 737-8 MAX,Y189,21 Jul 2022,lsd,6.5 Years
VT-YAC,Boeing 737-8 MAX,Y189,11 Aug 2022,lsd,6.5 Years
VT-YAD,Boeing 737-8 MAX,Y189,26 Sep 2022,lsd,6.2 Years
VT-YAE,Boeing 737-8 MAX,Y189,30 Aug 2022,lsd,6.7 Years
VT-YAF,Boeing 737-8 MAX,Y189,27 Sep 2022,lsd,6.5 Years
VT-YAG,Boeing 737-8 MAX,Y189,15 Nov 2022,lsd,6.6 Years
VT-YAH,Boeing 737-8 MAX,Y189,16 Nov 2022,lsd,6.9 Years
VT-YAI,Boeing 737-8 MAX,Y189,14 Oct 2022,lsd,6.7 Years
VT-YAJ,Boeing 737-8 MAX,Y189,14 Dec 2022,lsd,6.9 Years
VT-YAK,Boeing 737-8 MAX,Y189,24 Dec 2022,lsd,6.8 Years
VT-YAL,Boeing 737-8 MAX,Y189,13 Dec 2022,lsd,6.6 Years
VT-YAM,Boeing 737-8 MAX,Y189,20 Dec 2022,lsd,6.5 Years
VT-YAO,Boeing 737-8 MAX,Y189,18 Jan 2023,lsd,6.8 Years
VT-YAP,Boeing 737-8 MAX,Y189,19 Jan 2023,lsd,6.4 Years
VT-YAQ,Boeing 737-8 MAX,Y189,29 Dec 2022,lsd,6.2 Years
VT-YAR,Boeing 737-8 MAX,Y189,31 Jan 2023,lsd,6.8 Years
VT-YAS,Boeing 737-8 MAX,Y189,20 Feb 2023,lsd,6.3 Years
VT-YAT,Boeing 737-8 MAX,Y189,4 Mar 2023,lsd,6.3 Years
VT-YAU,Boeing 737-8 MAX,C8Y177,27 Dec 2023,lsd,5 Years
VT-YAV,Boeing 737-8200 MAX,Y197,28 Jul 2023,lsd,2.9 Years
VT-YAW,Boeing 737-8 MAX,C8Y177,26 Dec 2023,lsd,4 Years
VT-YAX,Boeing 737-8 MAX,Y186,6 Feb 2024,lsd,4 Years
VT-YBA,Boeing 737-8 MAX,Y186,30 Jan 2024,lsd,3.9 Years
VT-YBB,Boeing 737-8200 MAX,Y197,5 Sep 2024,lsd,1.7 Years
VT-YBC,Boeing 737-8200 MAX,Y197,16 Oct 2024,lsd,1.7 Years
VT-YBD,Boeing 737-8200 MAX,Y197,23 Jan 2025,,1.2 Years
VT-YBE,Boeing 737-8200 MAX,Y197,29 Apr 2025,,0.9 Years
VT-YBF,Boeing 737-8200 MAX,Y197,11 Jun 2025,,0.8 Years
VT-YBG,Boeing 737-8200 MAX,Y197,6 Jun 2025,,0.8 Years
VT-YBH,Boeing 737-8200 MAX,Y197,5 Dec 2025,,0.7 Years
VT-YBL,Boeing 737-8200 MAX,Y197,11 Feb 2026,,0.3 Years
VT-YBM,Boeing 737-8200 MAX,Y197,30 Jan 2026,,0.2 Years
VT-YBN,Boeing 737-8200 MAX,Y197,24 Jan 2026,,0.2 Years
VT-YBO,Boeing 737-8200 MAX,Y197,25 Feb 2026,,Brand new
VT-,Boeing 737-8200 MAX,Y197,On Order,,0.6 Years
VT-,Boeing 737-8200 MAX,Y197,On Order,,0.5 Years
VT-,Boeing 737-8200 MAX,Y197,On Order,,0.5 Years
