REG,AIRCRAFT TYPE,CONFIG,DELIVERED,REMARK,AGE
A6-CJE,Airbus A319-115 ACJ,C19,18 May 2013,"Parked at DXB, opf Emirates Executive",14.5 Years
A6-EXA,Airbus A350-941,C32W21Y259,25 Nov 2024,,1.4 Years
A6-EXB,Airbus A350-941,C32W21Y259,31 Dec 2024,,1.3 Years
A6-EXC,Airbus A350-941,C32W21Y259,20 Mar 2025,,1.1 Years
A6-EXD,Airbus A350-941,C32W21Y259,21 Jan 2025,,1.2 Years
A6-EXE,Airbus A350-941,C32W21Y259,30 May 2025,,0.9 Years
A6-EXF,Airbus A350-941,C32W21Y259,3 Jul 2025,,0.9 Years
A6-EXG,Airbus A350-941,C32W21Y259,15 May 2025,,0.9 Years
A6-EXH,Airbus A350-941,C32W21Y259,12 Jun 2025,,0.9 Years
A6-EXI,Airbus A350-941,C32W21Y259,22 Aug 2025,,0.7 Years
A6-EXJ,Airbus A350-941,C32W21Y259,21 Oct 2025,,0.5 Years
A6-EXK,Airbus A350-941,C32W28Y238,9 Oct 2025,,0.6 Years
A6-EXL,Airbus A350-941,C32W21Y259,27 Oct 2025,,0.5 Years
A6-EXM,Airbus A350-941,C32W28Y238,31 Oct 2025,,0.4 Years
A6-EXN,Airbus A350-941,C32W28Y238,19 Dec 2025,,0.3 Years
A6-EXO,Airbus A350-941,C32W28Y238,23 Dec 2025,,0.3 Years
A6-EXP,Airbus A350-941,C32W28Y238,29 Dec 2025,,0.4 Years
A6-EXQ,Airbus A350-941,,On Order,Brand new,
A6-EXR,Airbus A350-941,,On Order,Brand new,
A6-EXS,Airbus A350-941,,On Order,Brand new,
A6-EXT,Airbus A350-941,,On Order,Brand new,
A6-EXU,Airbus A350-941,,On Order,,
A6-EXV,Airbus A350-941,,On Order,,
A6-EXW,Airbus A350-941,,On Order,,
A6-EXY,Airbus A350-941,,On Order,,
A6-EXZ,Airbus A350-941,,On Order,,
A6-,Airbus A350-941,,On Order,,
A6-,Airbus A350-941,,On Order,,
A6-,Airbus A350-941,,On Order,,
A6-EDF,Airbus A380-861,F14C76Y427,11 Dec 2009,Parked / Maintenance,20 Years
A6-EDI,Airbus A380-861,F14C76Y427,28 May 2010,Parked at DWC,16.5 Years
A6-EDJ,Airbus A380-861,F14C76Y427,4 Jun 2010,Parked at DWC,19.5 Years
A6-EDK,Airbus A380-861,F14C76Y427,2 Jul 2010,,16.1 Years
A6-EDL,Airbus A380-861,F14C76Y427,12 Aug 2010,Parked at DWC,16.1 Years
A6-EDM,Airbus A380-861,F14C76Y399,28 Sep 2010,,15.9 Years
A6-EDN,Airbus A380-861,F14C76Y399,5 Nov 2010,,15.8 Years
A6-EDO,Airbus A380-861,F14C76Y399,30 Nov 2010,,15.8 Years
A6-EDP,Airbus A380-861,F14C76Y399,14 Oct 2011,,15 Years
A6-EDQ,Airbus A380-861,F14C76Y427,28 Oct 2011,lsd,14.9 Years
A6-EDR,Airbus A380-861,F14C76Y427,25 Nov 2011,"Parked at DXB, lsd",14.8 Years
A6-EDS,Airbus A380-861,F14C76Y427,16 Dec 2011,,14.7 Years
A6-EDT,Airbus A380-861,F14C76Y427,2 Dec 2011,Parked at DWC,14.7 Years
A6-EDU,Airbus A380-861,F14C76Y427,24 Feb 2012,,14.5 Years
A6-EDV,Airbus A380-861,F14C76Y427,30 Jul 2012,lsd,14.3 Years
