REG,AIRCRAFT TYPE,CONFIG,DELIVERED,REMARK
A6-EEP,Airbus A380-861,F14C76Y399,12 Dec 2013,"lsd, The Emirates Airline Foundation cs"
A6-EES,Airbus A380-861,F14C76Y427,19 Dec 2013,"lsd, Destination Dubai cs"
A6-EET,Airbus A380-861,F14C76Y399,27 Mar 2014,"lsd, Emirates Courier Express cs"
A6-EEU,Airbus A380-861,F14C76W56Y322,27 Mar 2014,Destination Dubai cs
A6-EEW,Airbus A380-861,F14C76W56Y341,27 Jun 2014,Destination Dubai W cs
A6-EOD,Airbus A380-861,F14C76W56Y322,10 Dec 2014,Official Airline Partner of the NBA W cs
A6-EOE,Airbus A380-861,F14C76W56Y322,22 Dec 2014,"lsd, Wimbledon Official Partner W cs"
A6-EOT,Airbus A380-861,F14C76W56Y341,23 Dec 2015,Destination Dubai cs
A6-EUE,Airbus A380-861,F14C76W56Y338,19 Aug 2016,Emirates Skywards 25th Anniversary cs
A6-EUH,Airbus A380-861,F14C76W56Y338,18 Nov 2016,Proud Partner of Grand Slam Tennis W cs
