REG,AIRCRAFT TYPE,CONFIG,DELIVERED,REMARK,AIRCRAFT NAME,AGE
VT-SFB,Boeing 737-75C(BDSF)(WL),Cargo,7 Sep 2018,"Parked at DEL, lsd",Bolt,27.6 Years
VT-SFD,Boeing 737-75C(BDSF)(WL),Cargo,23 Apr 2019,"Parked at DEL, lsd",Sonic,25.6 Years
VT-SFE,Boeing 737-75C(BDSF)(WL),Cargo,15 Jul 2019,"Parked at DEL, lsd",Flash,27.6 Years
VT-SLA,Boeing 737-7GL(WL),Y149,15 Nov 2015,"Stored at DEL after incident, lsd",,18.7 Years
VT-SLB,Boeing 737-7GL(WL),Y149,6 Nov 2015,lsd,Asafoetida,18.6 Years
VT-SLP,Boeing 737-76J(WL),Y149,4 May 2018,"Parked / Maintenance, lsd",,17 Years
VT-SYT,Boeing 737-75R(WL),C8Y126,24 Jun 2019,Parked at MAA,,18.6 Years
VT-SYU,Boeing 737-75R(WL),Y144,26 May 2019,Parked at DEL,,18.4 Years
9H-CXA,Boeing 737-85R(WL),Y189,27 Oct 2025,lsf Corendon Airlines Europe,,11.5 Years
9H-CXB,Boeing 737-85R(WL),Y189,5 Nov 2025,lsf Corendon Airlines Europe,,11.7 Years
9H-TJC,Boeing 737-86N(WL),Y189,27 Oct 2025,lsf Corendon Airlines Europe,,15.1 Years
9H-TJE,Boeing 737-85R(WL),Y189,3 Nov 2025,lsf Corendon Airlines Europe,,18 Years
9H-TJF,Boeing 737-85R(WL),Y189,12 Jan 2026,lsf Corendon Airlines Europe,,18 Years
EI-FFA,Boeing 737-8K5(WL),Y189,24 Nov 2025,lsf Fly4 Airlines,,15.1 Years
EI-FFB,Boeing 737-8K5(WL),Y189,27 Oct 2025,lsf Fly4 Airlines,,13.2 Years
EI-FFC,Boeing 737-8K5(WL),Y189,30 Oct 2025,lsf Fly4 Airlines,,13 Years
OK-TVM,Boeing 737-8FN(WL),Y189,14 Oct 2025,lsf Smartwings,,16.1 Years
OK-TVR,Boeing 737-86N(WL),Y189,28 Oct 2025,lsf Smartwings,,14.9 Years
OK-TVS,Boeing 737-86N(WL),Y189,7 Oct 2025,lsf Smartwings,,14.9 Years
OK-TVU,Boeing 737-86N(WL),Y189,26 Nov 2025,lsf Smartwings,,14 Years
OK-TVV,Boeing 737-86N(WL),Y189,9 Oct 2025,lsf Smartwings,,13.8 Years
VT-SGG,Boeing 737-8GJ(WL),Y189,17 Jun 2010,lsd,Chilli,15.7 Years
VT-SGJ,Boeing 737-86J(WL),Y189,7 Dec 2010,"Parked at CCU, lsd",Cumin W,21.1 Years
VT-SGV,Boeing 737-8GJ(WL),Y189,7 Nov 2011,lsd,Nigella,14.4 Years
