REG,AIRCRAFT TYPE,CONFIG,DELIVERED,EXIT DATE,STATUS / FATE,REMARK
VT-TTB,Airbus A320-232(WL),C8W24Y126,11 Sep 2014,24 Jun 2020,OE-IRQ Air Lease Corporation (ALC),lsd
VT-TTC,Airbus A320-232(WL),C8W24Y126,26 Sep 2014,28 Jun 2020,OE-IRU Air Lease Corporation (ALC),lsd
VT-TTD,Airbus A320-232(WL),C8W24Y132,24 Nov 2014,4 Aug 2020,OE-ICE BOC Aviation,lsd
VT-TTE,Airbus A320-232(WL),C8W24Y132,24 Nov 2014,14 Sep 2020,P4-KBN FlyArystan,lsd
VT-TTF,Airbus A320-232(WL),C8W24Y126,18 Dec 2014,7 Oct 2020,VQ-BZZ Wings Capital Partners,lsd
VT-TTG,Airbus A320-232(WL),C8W24Y126,19 Mar 2015,29 Dec 2020,OE-IWV Air Lease Corporation (ALC),lsd
VT-TTH,Airbus A320-232(WL),C8W24Y126,18 Sep 2015,7 Jun 2021,9H-AJE Clover Aviation Capital,lsd
VT-TTI,Airbus A320-232(WL),C8W24Y126,8 Oct 2015,7 Jul 2021,9H-AJF Clover Aviation Capital,lsd
VT-TTJ,Airbus A320-232(WL),C8W24Y126,27 Nov 2015,12 Sep 2021,9H-GKK Global Knafaim Leasing,lsd
VT-TTK,Airbus A320-232(WL),C8W24Y126,3 May 2016,16 Feb 2022,EI-HDM Goshawk Aviation,lsd
VT-TTL,Airbus A320-232(WL),C8W24Y126,2 Jun 2016,5 Apr 2022,9H-GKJ Global Knafaim Leasing,lsd
VT-TTM,Airbus A320-232(WL),C8W24Y126,20 Sep 2016,6 Jul 2022,2-VTTM Sierra Echo,lsd
VT-TTN,Airbus A320-232(WL),C8W24Y126,5 Oct 2016,25 Jul 2022,2-VTTN Sierra Echo,lsd
VT-ATV,Airbus A320-251N,C8W24Y132,30 Aug 2018,12 Nov 2024,VT-ATV Air India,"lsd, TATA SIA Airlines Retro cs"
VT-TNB,Airbus A320-251N,C8W24Y132,24 May 2017,12 Nov 2024,VT-TNB Air India,"lsd, #NotJustAnotherNeo / Brought to you by Tata & Singapore Airlines sticker"
VT-TNC,Airbus A320-251N,C8W24Y132,6 Jul 2017,12 Nov 2024,VT-TNC Air India,lsd
VT-TNE,Airbus A320-251N,C8W24Y132,31 Aug 2017,12 Nov 2024,VT-TNE Air India,lsd
VT-TNF,Airbus A320-251N,C8W24Y132,6 Dec 2017,12 Nov 2024,VT-TNF Air India,lsd
VT-TNH,Airbus A320-251N,C8W24Y132,22 Feb 2018,12 Nov 2024,VT-TNH Air India,lsd
VT-TNI,Airbus A320-251N,C8W24Y132,1 Mar 2018,12 Nov 2024,VT-TNI Air India,lsd
VT-TNJ,Airbus A320-251N,C8W24Y132,3 Apr 2018,12 Nov 2024,VT-TNJ Air India,lsd
VT-TNK,Airbus A320-251N,C8W24Y132,13 Jun 2018,12 Nov 2024,VT-TNK Air India,lsd
VT-TNL,Airbus A320-251N,Y180,6 Nov 2019,12 Nov 2024,VT-TNL Air India,lsd
VT-TNM,Airbus A320-251N,Y180,28 Nov 2019,12 Nov 2024,VT-TNM Air India,lsd
VT-TNN,Airbus A320-251N,Y180,7 Jun 2019,12 Nov 2024,VT-TNN Air India,lsd
VT-TNP,Airbus A320-251N,C8W24Y132,23 Oct 2019,12 Nov 2024,VT-TNP Air India,lsd
VT-TNQ,Airbus A320-251N,C8W24Y132,22 Oct 2019,12 Nov 2024,VT-TNQ Air India,lsd
VT-TNR,Airbus A320-251N,C8W24Y132,25 Oct 2019,12 Nov 2024,VT-TNR Air India,lsd
VT-TNS,Airbus A320-251N,C8W24Y132,21 Dec 2019,12 Nov 2024,VT-TNS Air India,lsd
VT-TNU,Airbus A320-251N,C8W24Y132,27 Nov 2019,12 Nov 2024,VT-TNU Air India,lsd
VT-TNV,Airbus A320-251N,C8W24Y132,4 Dec 2019,12 Nov 2024,VT-TNV Air India,lsd
VT-TNW,Airbus A320-251N,C8W24Y132,17 Dec 2019,12 Nov 2024,VT-TNW Air India,lsd
VT-TNX,Airbus A320-251N,C8W24Y132,13 Jul 2020,12 Nov 2024,VT-TNX Air India,lsd
VT-TNY,Airbus A320-251N,C8W24Y132,16 Mar 2020,12 Nov 2024,VT-TNY Air India,lsd
VT-TNZ,Airbus A320-251N,C8W24Y132,6 Oct 2020,12 Nov 2024,VT-TNZ Air India,lsd
VT-TQA,Airbus A320-251N,C8W24Y132,1 Dec 2020,12 Nov 2024,VT-TQA Air India,
VT-TQB,Airbus A320-251N,C8W24Y132,1 Dec 2020,12 Nov 2024,VT-TQB Air India,lsd
VT-TQC,Airbus A320-251N,C8W24Y132,1 Mar 2021,12 Nov 2024,VT-TQC Air India,lsd
