REG,AIRCRAFT TYPE,CONFIG,DELIVERED,REMARK,AGE
B-HPB,Airbus A321-251NX,C12Y190,13 Nov 2020,lsd,5.3 Years
B-HPD,Airbus A321-251NX,C12Y190,8 Dec 2020,lsd,5.3 Years
B-HPE,Airbus A321-251NX,C12Y190,29 Apr 2021,lsd,4.9 Years
B-HPF,Airbus A321-251NX,C12Y190,31 May 2022,,3.8 Years
B-HPG,Airbus A321-251NX,C12Y190,10 Jun 2021,lsd,4.8 Years
B-HPH,Airbus A321-251NX,C12Y190,23 Nov 2021,lsd,4.3 Years
B-HPI,Airbus A321-251NX,C12Y190,27 Jun 2022,,3.7 Years
B-HPJ,Airbus A321-251NX,C12Y190,21 Apr 2023,lsd,3 Years
B-HPK,Airbus A321-251NX,C12Y190,27 Jun 2023,lsd,2.8 Years
B-HPN,Airbus A321-251NX,C12Y190,14 Feb 2023,lsd,3.2 Years
B-HPO,Airbus A321-251NX,C12Y190,6 Feb 2023,,3.1 Years
B-HPP,Airbus A321-251NX,C12Y190,22 Mar 2023,,3 Years
B-HPQ,Airbus A321-251NX,C12Y190,20 Aug 2024,,1.6 Years
B-HPR,Airbus A321-251NX,C12Y190,16 Sep 2024,,1.6 Years
B-HPS,Airbus A321-251NX,C12Y190,19 Dec 2024,,1.2 Years
B-HPT,Airbus A321-251NX,C12Y190,23 Oct 2024,,1.4 Years
B-,Airbus A321-251NX,C12Y190,On Order,,
B-,Airbus A321-251NX,C12Y190,On Order,,
B-HLM,Airbus A330-343,C24Y293,21 Dec 2020,,25.1 Years
B-HLN,Airbus A330-343,C24Y293,21 Dec 2020,,25.1 Years
B-HLO,Airbus A330-343,C24Y293,20 Oct 2020,lsd,25 Years
B-HLP,Airbus A330-343,C39Y223,10 Aug 2001,,24.6 Years
B-HLQ,Airbus A330-343,C39W21Y191,31 Aug 2001,,24.6 Years
B-HLR,Airbus A330-343,C39Y223,28 Sep 2001,"Monitoring for Climate Change" sticker,24.5 Years
B-HLS,Airbus A330-343,C39W21Y191,5 Oct 2001,,24.5 Years
B-HLT,Airbus A330-343,C24Y293,20 Oct 2020,,24.3 Years
B-HLU,Airbus A330-343,C24Y293,8 Sep 2003,,22.7 Years
B-HLV,Airbus A330-343,C24Y293,26 Sep 2003,,22.5 Years
B-HLW,Airbus A330-343,C39Y223,12 Dec 2003,,22.3 Years
B-HWM,Airbus A330-343,C42Y265,9 Aug 2021,,12.4 Years
B-HYG,Airbus A330-343,C50Y230,7 Mar 2024,,24.8 Years
B-HYI,Airbus A330-343,C50Y230,27 Feb 2023,,23.8 Years
B-HYJ,Airbus A330-343,C50Y230,27 Feb 2023,,23.3 Years
B-HYQ,Airbus A330-343,C50Y230,4 Oct 2020,lsd,22 Years
B-LAA,Airbus A330-342,C42Y265,20 Oct 2020,lsd,20.8 Years
B-LAB,Airbus A330-342,C42Y265,20 Oct 2020,lsd,20.8 Years
B-LAD,Airbus A330-342,C28Y265,25 Aug 2006,,19.7 Years
B-LAE,Airbus A330-342,C28Y265,27 Jul 2007,,18.7 Years
B-LAF,Airbus A330-342,C28Y265,31 Aug 2007,,18.6 Years
B-LAJ,Airbus A330-342,C39Y223,22 Oct 2010,,15.4 Years
B-LAK,Airbus A330-343,C28Y265,25 Feb 2011,,15.1 Years
B-LAL,Airbus A330-343,C28Y265,13 May 2011,,14.9 Years
B-LAM,Airbus A330-343,C39Y223,29 Jul 2011,,14.7 Years
B-LAN,Airbus A330-343,C39Y223,24 Feb 2012,,14.1 Years
B-LAO,Airbus A330-343,C39Y223,15 Jun 2012,,13.8 Years
B-LAP,Airbus A330-343,C28Y265,28 Sep 2012,,13.5 Years
B-LAQ,Airbus A330-343,C28Y265,17 Oct 2012,,13.5 Years
B-LAR,Airbus A330-343,C39Y223,26 Nov 2012,,13.3 Years
B-LAX,Airbus A330-343,C39Y223,7 Dec 2012,,13.3 Years
B-LAZ,Airbus A330-343,C39Y223,25 Feb 2013,,13.1 Years
B-LBA,Airbus A330-343,C39Y223,26 Apr 2013,,12.9 Years
B-LBB,Airbus A330-343,C39Y223,19 Jul 2013,,12.7 Years
B-LBC,Airbus A330-343,C39Y223,19 Aug 2013,,12.6 Years
B-LBD,Airbus A330-343,C42Y265,2 Dec 2020,,12 Years
B-LBE,Airbus A330-343,C24Y293,20 Oct 2020,,11.8 Years
B-LBF,Airbus A330-343,C24Y293,20 Oct 2020,,11.7 Years
B-LBG,Airbus A330-343,C24Y293,20 Oct 2020,,11.6 Years
B-LBH,Airbus A330-343,C24Y293,20 Oct 2020,,11.5 Years
B-LBI,Airbus A330-343,C24Y293,2 Dec 2020,,11.1 Years
B-LBJ,Airbus A330-343,C28Y265,30 Apr 2015,,10.9 Years
B-LBK,Airbus A330-343,C24Y293,2 Dec 2020,,11 Years
B-LQA,Airbus A350-941,C38W28Y214,8 Jul 2019,,6.7 Years
