REG,AIRCRAFT TYPE,CONFIG,DELIVERED,REMARK,AGE
9V-SGA,Airbus A350-941,C67W94,21 Sep 2018,,7.7 Years
9V-SGB,Airbus A350-941,C67W94,28 Sep 2018,,7.5 Years
9V-SGC,Airbus A350-941,C67W94,5 Oct 2018,,7.6 Years
9V-SGD,Airbus A350-941,C67W94,25 Oct 2018,,7.4 Years
9V-SGE,Airbus A350-941,C67W94,14 Nov 2018,,7.9 Years
9V-SGF,Airbus A350-941,C67W94,21 Nov 2018,,7.3 Years
9V-SGG,Airbus A350-941,C67W94,14 Dec 2018,,7.3 Years
9V-SHA,Airbus A350-941,C40Y263,17 Dec 2018,,7.3 Years
9V-SHB,Airbus A350-941,C40Y263,30 Nov 2018,,7.3 Years
9V-SHC,Airbus A350-941,C40Y263,1 Feb 2019,,7.1 Years
9V-SHD,Airbus A350-941,C40Y263,28 Feb 2019,lsd,7.1 Years
9V-SHE,Airbus A350-941,C40Y263,5 Apr 2019,,6.9 Years
9V-SHF,Airbus A350-941,C40Y263,10 May 2019,,7 Years
9V-SHG,Airbus A350-941,C40Y263,17 May 2019,lsd,6.9 Years
9V-SHH,Airbus A350-941,C40Y263,7 Jun 2019,,6.9 Years
9V-SHI,Airbus A350-941,C40Y263,28 Jun 2019,,6.7 Years
9V-SHJ,Airbus A350-941,C40Y263,9 Aug 2019,,6.6 Years
9V-SHK,Airbus A350-941,C40Y263,29 Nov 2019,lsd,6.3 Years
9V-SHL,Airbus A350-941,C40Y263,6 Dec 2019,lsd,6.3 Years
9V-SHM,Airbus A350-941,C40Y263,22 Jan 2020,lsd,6.1 Years
9V-SHN,Airbus A350-941,C40Y263,31 Jan 2020,lsd,6.1 Years
9V-SHO,Airbus A350-941,C40Y263,21 Feb 2020,Parked / Maintenance,6.1 Years
9V-SHP,Airbus A350-941,C40Y263,2 Oct 2020,,5.5 Years
9V-SHQ,Airbus A350-941,C40Y263,9 Oct 2020,,5.5 Years
9V-SHR,Airbus A350-941,C40Y263,16 Oct 2020,,5.5 Years
9V-SHS,Airbus A350-941,C40Y263,20 Oct 2020,,5.4 Years
9V-SHT,Airbus A350-941,C40Y263,19 Mar 2021,,5.2 Years
9V-SHU,Airbus A350-941,C40Y263,26 Mar 2021,,5 Years
9V-SHV,Airbus A350-941,C40Y263,31 Mar 2021,,5 Years
9V-SHW,Airbus A350-941,C40Y263,7 Jan 2022,Stored at SIN after incident,4.2 Years
9V-SHY,Airbus A350-941,C40Y263,8 Apr 2022,,4 Years
9V-SJA,Airbus A350-941,C42W24Y187,22 Nov 2019,,6.3 Years
9V-SJB,Airbus A350-941,C42W24Y187,25 Jun 2021,,4.8 Years
9V-SJC,Airbus A350-941,C42W24Y187,28 Jun 2022,,3.7 Years
9V-SJD,Airbus A350-941,C42W24Y187,19 Aug 2022,,3.7 Years
9V-SJE,Airbus A350-941,C42W24Y187,29 Dec 2021,,4.7 Years
9V-SJF,Airbus A350-941,C42W24Y187,29 Mar 2023,,3 Years
